#{"t_start": 1627294149.254651, "env_id": null}
r,l,t
-1.16,17,8.53176
-1.04,5,8.538728
-1.13,14,8.552885
-1.15,16,8.572001
-1.25,26,8.593329
-1.03,4,8.599887
-1.05,6,8.609328
-1.12,13,8.626122
-1.12,13,8.640471
-1.01,2,8.644868
-1.09,10,8.656565
-1.12,13,8.670277
-1.13,14,8.686678
-1.22,23,8.707515
-1.11,12,8.718827
-1.04,5,8.726751
-1.03,4,8.731594
-1.03,4,8.736681
-1.01,2,8.739481
-1.03,4,8.747296
-1.09,10,8.756569
-1.03,4,8.76077
-1,1,8.762727
-1.01,2,8.76529
-1.02,3,8.770219
-1.08,9,8.781478
-1.08,9,8.790927
-1.24,25,8.813842
-1.17,18,8.830686
-1.18,19,8.857064
-1.14,15,8.872563
-1.9,91,9.66597
-1.09,10,9.676019
-1.03,4,9.68243
-1.16,17,9.699288
-1.19,20,9.719518
-1.06,7,9.729111
-1.22,23,9.749279
-1.08,9,9.762578
-1.13,14,9.778227
-1.06,7,9.786123
-1.02,3,9.790398
-1.01,2,9.794735
-1.59,60,9.837681
-1.76,77,9.896518
-1.62,63,9.946549
-1.08,9,9.955004
-1.02,3,9.959519
-1.81,82,10.025849
-1.33,34,10.053428
-1.16,17,10.074797
-1.48,49,10.113004
-1.05,6,10.118976
-1.06,7,10.125506
-1.04,5,10.130393
-1.02,3,10.135178
-1.03,4,10.140374
-1.3,31,10.167816
-1.66,67,10.214845
-1.06,7,10.222064
-1.12,13,10.239584
-1.14,15,10.255696
-1,1,10.25762
-1.32,33,10.283371
-1.06,7,10.29033
-1.61,62,10.335537
-1.14,15,10.348274
-1.08,9,10.358406
-1.06,7,10.366704
-1,1,10.368824
-1.8,81,10.429277
-1.05,6,10.435291
-1.05,6,10.444056
-1.01,2,10.447884
-1.11,12,10.457407
-1.11,12,10.474023
-1.34,35,10.504894
-1.08,9,10.514767
-1.17,18,10.533485
-1.01,2,10.536785
-1.04,5,10.542056
-1.34,35,10.57069
-1.06,7,10.579117
-1.08,9,10.590753
-1,1,10.592456
-1.22,23,10.614955
-1.09,10,10.6269
-1.04,5,10.633106
-1,1,10.635387
-1.13,14,10.647006
-1.18,19,10.67038
-1.24,25,10.698597
-1.04,5,10.706925
-1.22,23,10.736849
-1.16,17,10.75179
-1.16,17,10.76795
-1.12,13,10.783686
-1.09,10,10.795262
-1.09,10,10.808172
-1.11,12,10.820918
-1.12,13,10.835795
-1.16,17,10.85051
-1.25,26,10.87247
-1.08,9,10.881382
-1.04,5,10.886839
-1.11,12,10.903032
-1.06,7,10.911176
-1.03,4,10.91671
-1.13,14,10.929909
-1.08,9,10.942304
-1.22,23,10.961976
-1.03,4,10.967615
-1.07,8,10.975757
-1.3,31,11.013473
-1.02,3,11.017155
-1.03,4,11.022666
-1.11,12,11.036551
-1.15,16,11.051815
-1.06,7,11.05987
-1.04,5,11.066841
-1.55,56,11.111656
-1.12,13,11.123733
-1.04,5,11.130649
-1.01,2,11.133456
-1.1,11,11.143799
-1.03,4,11.149288
-1.51,52,11.187052
-1.08,9,11.195228
-1.04,5,11.201176
-1.06,7,11.211703
-1.34,35,11.23842
-1.1,11,11.250266
-1.11,12,11.261789
-1.12,13,11.275936
-1.01,2,11.278746
-1.07,8,11.289921
-1.39,40,11.321438
-1.12,13,11.335713
-1.04,5,11.341861
-1.08,9,11.354363
-1.02,3,11.3589
-1.01,2,11.361816
-1.03,4,11.367211
-1.04,5,11.37258
-1.06,7,11.382442
-1.23,24,11.402875
-1.51,52,11.440671
-1.04,5,11.447545
-1.01,2,11.451441
-1.07,8,11.46146
-1.51,52,11.500963
-1.79,80,12.298145
-1.22,23,12.320627
-1.14,15,12.333883
-1.09,10,12.346949
